ip_address,poi_type_query,count
133.160.188.193,cafeteria,2
133.160.188.193,supermarket,3
133.160.188.193,club,5
133.160.188.193,gym,5
133.160.188.193,restaurant,7
135.104.79.52,cafeteria,2
135.104.79.52,dojo,2
135.104.79.52,restaurant,2
135.104.79.52,gym,5
135.104.79.52,bar,6
135.104.79.52,club,6
138.1.63.218,dojo,4
138.1.63.218,bar,5
138.1.63.218,cafeteria,7
138.1.63.218,restaurant,7
138.154.139.194,cafeteria,2
138.154.139.194,bar,3
138.154.139.194,supermarket,3
138.154.139.194,club,4
138.154.139.194,restaurant,7
138.53.90.242,restaurant,2
138.53.90.242,bar,3
138.53.90.242,dojo,5
138.53.90.242,supermarket,6
138.53.90.242,cafeteria,7
139.251.47.207,cafeteria,2
139.251.47.207,gym,2
139.251.47.207,dojo,3
139.251.47.207,supermarket,5
139.251.47.207,restaurant,9
140.119.63.230,cafeteria,2
140.119.63.230,dojo,4
140.119.63.230,bar,5
140.119.63.230,club,5
140.119.63.230,restaurant,5
140.81.135.193,restaurant,2
140.81.135.193,bar,4
140.81.135.193,dojo,4
140.81.135.193,cafeteria,5
140.81.135.193,gym,6
140.84.18.65,cafeteria,2
140.84.18.65,bar,3
140.84.18.65,dojo,4
140.84.18.65,gym,4
140.84.18.65,restaurant,6
143.209.166.96,cafeteria,2
143.209.166.96,bar,4
143.209.166.96,club,4
143.209.166.96,dojo,5
143.209.166.96,restaurant,7
146.1.11.56,restaurant,2
146.1.11.56,supermarket,3
146.1.11.56,bar,4
146.1.11.56,club,4
146.1.11.56,cafeteria,8
146.148.99.165,club,4
146.148.99.165,dojo,4
146.148.99.165,restaurant,6
146.148.99.165,cafeteria,8
146.71.112.211,cafeteria,2
146.71.112.211,dojo,2
146.71.112.211,restaurant,2
146.71.112.211,supermarket,4
146.71.112.211,club,5
146.71.112.211,gym,5
147.98.35.57,bar,2
147.98.35.57,cafeteria,2
147.98.35.57,restaurant,2
147.98.35.57,dojo,3
147.98.35.57,supermarket,3
147.98.35.57,gym,6
148.172.128.122,restaurant,2
148.172.128.122,gym,4
148.172.128.122,supermarket,4
148.172.128.122,cafeteria,5
148.172.128.122,club,5
148.180.246.199,restaurant,2
148.180.246.199,gym,3
148.180.246.199,dojo,5
148.180.246.199,supermarket,5
148.180.246.199,cafeteria,6
148.184.155.201,gym,4
148.184.155.201,cafeteria,5
148.184.155.201,club,5
148.184.155.201,restaurant,8
148.198.98.205,cafeteria,2
148.198.98.205,dojo,3
148.198.98.205,supermarket,3
148.198.98.205,bar,5
148.198.98.205,restaurant,6
149.36.132.17,gym,4
149.36.132.17,club,5
149.36.132.17,restaurant,5
149.36.132.17,cafeteria,6
150.10.128.218,cafeteria,2
150.10.128.218,bar,3
150.10.128.218,club,5
150.10.128.218,restaurant,5
150.10.128.218,dojo,6
152.115.234.99,cafeteria,3
152.115.234.99,club,4
152.115.234.99,dojo,5
152.115.234.99,restaurant,8
154.241.0.45,restaurant,2
154.241.0.45,club,3
154.241.0.45,gym,3
154.241.0.45,supermarket,4
154.241.0.45,cafeteria,9
156.148.169.71,cafeteria,5
156.148.169.71,club,5
156.148.169.71,restaurant,5
156.148.169.71,gym,6
157.252.251.212,restaurant,2
157.252.251.212,club,3
157.252.251.212,bar,5
157.252.251.212,cafeteria,6
157.252.251.212,dojo,6
159.118.124.69,club,3
159.118.124.69,supermarket,3
159.118.124.69,cafeteria,8
159.118.124.69,restaurant,8
163.177.121.157,cafeteria,2
163.177.121.157,club,2
163.177.121.157,dojo,4
163.177.121.157,gym,5
163.177.121.157,restaurant,5
163.180.140.74,cafeteria,2
163.180.140.74,bar,3
163.180.140.74,dojo,3
163.180.140.74,club,6
163.180.140.74,restaurant,8
166.3.233.225,cafeteria,2
166.3.233.225,bar,3
166.3.233.225,dojo,3
166.3.233.225,gym,4
166.3.233.225,restaurant,5
166.63.10.195,gym,4
166.63.10.195,bar,5
166.63.10.195,restaurant,5
166.63.10.195,cafeteria,7
17.31.78.253,cafeteria,2
17.31.78.253,gym,3
17.31.78.253,club,5
17.31.78.253,dojo,5
17.31.78.253,restaurant,5
171.102.165.236,cafeteria,2
171.102.165.236,dojo,3
171.102.165.236,club,4
171.102.165.236,bar,5
171.102.165.236,restaurant,5
173.88.30.87,dojo,2
173.88.30.87,restaurant,2
173.88.30.87,gym,3
173.88.30.87,club,4
173.88.30.87,cafeteria,8
174.151.217.219,cafeteria,5
174.151.217.219,gym,5
174.151.217.219,bar,6
174.151.217.219,restaurant,6
175.42.106.82,restaurant,2
175.42.106.82,gym,4
175.42.106.82,cafeteria,5
175.42.106.82,bar,6
175.42.106.82,dojo,6
175.43.40.163,cafeteria,2
175.43.40.163,club,5
175.43.40.163,dojo,5
175.43.40.163,restaurant,5
175.43.40.163,supermarket,5
18.134.157.178,club,3
18.134.157.178,dojo,5
18.134.157.178,cafeteria,6
18.134.157.178,restaurant,6
18.204.22.223,bar,4
18.204.22.223,restaurant,5
18.204.22.223,cafeteria,7
18.204.22.223,gym,7
18.32.136.165,cafeteria,2
18.32.136.165,gym,3
18.32.136.165,club,5
18.32.136.165,dojo,6
18.32.136.165,restaurant,6
18.52.26.2,restaurant,2
18.52.26.2,cafeteria,4
18.52.26.2,dojo,4
18.52.26.2,club,6
18.52.26.2,bar,7
180.226.4.53,restaurant,2
180.226.4.53,bar,4
180.226.4.53,dojo,4
180.226.4.53,gym,5
180.226.4.53,cafeteria,7
181.239.94.112,restaurant,2
181.239.94.112,club,3
181.239.94.112,supermarket,5
181.239.94.112,cafeteria,6
181.239.94.112,gym,6
182.2.239.27,cafeteria,2
182.2.239.27,bar,3
182.2.239.27,gym,3
182.2.239.27,club,6
182.2.239.27,restaurant,7
182.92.28.40,restaurant,2
182.92.28.40,supermarket,3
182.92.28.40,gym,4
182.92.28.40,cafeteria,6
182.92.28.40,dojo,7
187.69.159.223,gym,1
187.69.159.223,cafeteria,2
187.69.159.223,supermarket,5
187.69.159.223,club,6
187.69.159.223,restaurant,6
189.222.3.241,cafeteria,2
189.222.3.241,restaurant,2
189.222.3.241,gym,3
189.222.3.241,dojo,4
189.222.3.241,club,5
189.222.3.241,bar,6
19.209.233.227,cafeteria,2
19.209.233.227,restaurant,3
19.209.233.227,dojo,4
19.209.233.227,bar,5
19.209.233.227,gym,6
19.24.38.167,restaurant,2
19.24.38.167,bar,4
19.24.38.167,cafeteria,4
19.24.38.167,dojo,5
19.24.38.167,supermarket,5
19.37.175.16,bar,2
19.37.175.16,supermarket,5
19.37.175.16,cafeteria,7
19.37.175.16,restaurant,7
190.220.254.252,cafeteria,2
190.220.254.252,restaurant,2
190.220.254.252,dojo,3
190.220.254.252,club,4
190.220.254.252,gym,4
190.220.254.252,supermarket,5
191.78.122.246,cafeteria,2
191.78.122.246,club,4
191.78.122.246,gym,4
191.78.122.246,supermarket,6
191.78.122.246,restaurant,7
194.153.241.86,gym,2
194.153.241.86,restaurant,2
194.153.241.86,dojo,4
194.153.241.86,supermarket,5
194.153.241.86,cafeteria,6
194.89.78.49,restaurant,2
194.89.78.49,dojo,3
194.89.78.49,gym,4
194.89.78.49,supermarket,4
194.89.78.49,cafeteria,5
197.134.251.204,cafeteria,2
197.134.251.204,supermarket,3
197.134.251.204,club,5
197.134.251.204,restaurant,5
197.134.251.204,gym,6
20.194.91.153,cafeteria,2
20.194.91.153,gym,4
20.194.91.153,bar,5
20.194.91.153,restaurant,5
20.194.91.153,supermarket,6
200.20.52.81,restaurant,2
200.20.52.81,bar,3
200.20.52.81,dojo,4
200.20.52.81,cafeteria,6
200.20.52.81,supermarket,6
201.147.34.165,restaurant,2
201.147.34.165,bar,4
201.147.34.165,club,4
201.147.34.165,supermarket,5
201.147.34.165,cafeteria,6
202.161.113.142,restaurant,2
202.161.113.142,gym,3
202.161.113.142,supermarket,4
202.161.113.142,cafeteria,6
202.161.113.142,dojo,7
202.39.106.20,cafeteria,2
202.39.106.20,supermarket,4
202.39.106.20,club,5
202.39.106.20,dojo,5
202.39.106.20,restaurant,7
203.24.85.254,bar,2
203.24.85.254,gym,3
203.24.85.254,cafeteria,6
203.24.85.254,restaurant,7
204.146.211.61,cafeteria,2
204.146.211.61,club,2
204.146.211.61,supermarket,4
204.146.211.61,gym,6
204.146.211.61,restaurant,6
205.217.178.129,cafeteria,2
205.217.178.129,restaurant,2
205.217.178.129,supermarket,4
205.217.178.129,club,5
205.217.178.129,gym,5
208.129.163.212,restaurant,2
208.129.163.212,club,3
208.129.163.212,gym,3
208.129.163.212,supermarket,4
208.129.163.212,cafeteria,6
208.156.187.81,restaurant,2
208.156.187.81,club,4
208.156.187.81,bar,5
208.156.187.81,cafeteria,5
208.156.187.81,dojo,5
21.97.153.208,supermarket,3
21.97.153.208,cafeteria,5
21.97.153.208,club,5
21.97.153.208,restaurant,5
210.229.8.27,restaurant,2
210.229.8.27,gym,3
210.229.8.27,bar,4
210.229.8.27,cafeteria,6
210.229.8.27,supermarket,6
210.68.124.185,cafeteria,2
210.68.124.185,dojo,2
210.68.124.185,restaurant,2
210.68.124.185,club,4
210.68.124.185,supermarket,4
210.68.124.185,gym,5
211.193.115.52,dojo,4
211.193.115.52,gym,4
211.193.115.52,cafeteria,7
211.193.115.52,restaurant,7
22.89.99.232,gym,1
22.89.99.232,cafeteria,2
22.89.99.232,bar,5
22.89.99.232,supermarket,5
22.89.99.232,restaurant,7
220.23.41.202,cafeteria,2
220.23.41.202,club,4
220.23.41.202,bar,5
220.23.41.202,gym,5
220.23.41.202,restaurant,7
222.215.127.43,restaurant,2
222.215.127.43,gym,4
222.215.127.43,supermarket,4
222.215.127.43,bar,5
222.215.127.43,cafeteria,7
224.203.30.107,restaurant,2
224.203.30.107,dojo,3
224.203.30.107,cafeteria,5
224.203.30.107,club,5
224.203.30.107,gym,5
227.101.137.102,cafeteria,2
227.101.137.102,supermarket,2
227.101.137.102,club,3
227.101.137.102,bar,5
227.101.137.102,restaurant,6
229.89.219.178,cafeteria,4
229.89.219.178,supermarket,4
229.89.219.178,restaurant,5
229.89.219.178,dojo,6
23.32.131.49,restaurant,2
23.32.131.49,club,4
23.32.131.49,dojo,4
23.32.131.49,supermarket,5
23.32.131.49,cafeteria,7
230.106.55.51,dojo,3
230.106.55.51,cafeteria,4
230.106.55.51,supermarket,4
230.106.55.51,restaurant,9
230.117.18.126,supermarket,4
230.117.18.126,bar,5
230.117.18.126,restaurant,5
230.117.18.126,cafeteria,6
230.200.203.199,restaurant,2
230.200.203.199,gym,3
230.200.203.199,bar,4
230.200.203.199,cafeteria,5
230.200.203.199,club,5
231.216.0.104,cafeteria,2
231.216.0.104,restaurant,2
231.216.0.104,gym,3
231.216.0.104,dojo,4
231.216.0.104,club,5
231.216.0.104,bar,6
232.230.163.5,cafeteria,2
232.230.163.5,club,5
232.230.163.5,supermarket,5
232.230.163.5,gym,6
232.230.163.5,restaurant,6
232.7.240.191,cafeteria,2
232.7.240.191,bar,3
232.7.240.191,dojo,4
232.7.240.191,gym,4
232.7.240.191,restaurant,5
233.143.85.157,restaurant,2
233.143.85.157,cafeteria,5
233.143.85.157,club,5
233.143.85.157,dojo,5
233.143.85.157,gym,5
233.228.129.122,cafeteria,2
233.228.129.122,dojo,3
233.228.129.122,bar,4
233.228.129.122,club,4
233.228.129.122,restaurant,7
236.195.248.12,restaurant,2
236.195.248.12,bar,3
236.195.248.12,club,4
236.195.248.12,cafeteria,5
236.195.248.12,dojo,5
237.144.218.252,bar,4
237.144.218.252,supermarket,5
237.144.218.252,cafeteria,6
237.144.218.252,restaurant,7
237.34.214.242,cafeteria,2
237.34.214.242,restaurant,2
237.34.214.242,club,3
237.34.214.242,gym,3
237.34.214.242,dojo,5
237.34.214.242,supermarket,6
239.43.202.171,restaurant,2
239.43.202.171,club,4
239.43.202.171,supermarket,4
239.43.202.171,bar,5
239.43.202.171,cafeteria,6
24.103.222.44,gym,2
24.103.222.44,cafeteria,5
24.103.222.44,bar,6
24.103.222.44,restaurant,8
240.166.18.225,club,3
240.166.18.225,bar,4
240.166.18.225,cafeteria,4
240.166.18.225,restaurant,8
242.216.225.78,restaurant,2
242.216.225.78,bar,4
242.216.225.78,dojo,4
242.216.225.78,gym,4
242.216.225.78,cafeteria,8
244.190.169.115,restaurant,2
244.190.169.115,bar,3
244.190.169.115,club,3
244.190.169.115,supermarket,6
244.190.169.115,cafeteria,7
245.191.255.251,cafeteria,2
245.191.255.251,club,5
245.191.255.251,gym,5
245.191.255.251,supermarket,5
245.191.255.251,restaurant,6
245.245.186.65,dojo,2
245.245.186.65,restaurant,2
245.245.186.65,supermarket,2
245.245.186.65,bar,5
245.245.186.65,cafeteria,5
245.77.53.191,bar,2
245.77.53.191,restaurant,2
245.77.53.191,dojo,4
245.77.53.191,cafeteria,5
245.77.53.191,supermarket,5
247.196.95.171,restaurant,2
247.196.95.171,club,3
247.196.95.171,supermarket,4
247.196.95.171,dojo,5
247.196.95.171,cafeteria,6
247.26.27.252,club,1
247.26.27.252,cafeteria,2
247.26.27.252,supermarket,4
247.26.27.252,bar,5
247.26.27.252,restaurant,6
247.70.122.201,restaurant,2
247.70.122.201,bar,4
247.70.122.201,club,4
247.70.122.201,supermarket,4
247.70.122.201,cafeteria,7
250.117.118.197,restaurant,2
250.117.118.197,dojo,3
250.117.118.197,club,4
250.117.118.197,cafeteria,6
250.117.118.197,gym,7
250.163.7.81,club,1
250.163.7.81,cafeteria,2
250.163.7.81,supermarket,4
250.163.7.81,gym,6
250.163.7.81,restaurant,7
250.71.124.231,restaurant,2
250.71.124.231,club,3
250.71.124.231,bar,4
250.71.124.231,supermarket,5
250.71.124.231,cafeteria,7
254.77.88.10,bar,2
254.77.88.10,restaurant,2
254.77.88.10,gym,4
254.77.88.10,club,5
254.77.88.10,cafeteria,7
27.162.61.209,cafeteria,2
27.162.61.209,club,4
27.162.61.209,supermarket,4
27.162.61.209,bar,6
27.162.61.209,restaurant,6
27.89.29.117,cafeteria,2
27.89.29.117,bar,3
27.89.29.117,gym,3
27.89.29.117,supermarket,4
27.89.29.117,restaurant,8
28.234.194.204,restaurant,5
28.234.194.204,supermarket,5
28.234.194.204,cafeteria,6
28.234.194.204,club,6
3.36.170.195,gym,1
3.36.170.195,cafeteria,2
3.36.170.195,supermarket,2
3.36.170.195,bar,4
3.36.170.195,restaurant,7
31.94.149.244,club,3
31.94.149.244,bar,4
31.94.149.244,cafeteria,5
31.94.149.244,restaurant,6
33.105.198.25,restaurant,2
33.105.198.25,cafeteria,4
33.105.198.25,gym,4
33.105.198.25,dojo,5
33.105.198.25,bar,6
34.101.177.245,club,4
34.101.177.245,dojo,4
34.101.177.245,restaurant,6
34.101.177.245,cafeteria,7
34.34.64.234,bar,4
34.34.64.234,club,4
34.34.64.234,restaurant,5
34.34.64.234,cafeteria,7
36.236.230.96,supermarket,2
36.236.230.96,dojo,3
36.236.230.96,cafeteria,6
36.236.230.96,restaurant,7
37.12.103.243,cafeteria,2
37.12.103.243,club,5
37.12.103.243,dojo,5
37.12.103.243,restaurant,5
37.12.103.243,bar,6
37.238.140.76,club,3
37.238.140.76,supermarket,5
37.238.140.76,restaurant,7
37.238.140.76,cafeteria,8
37.52.192.45,cafeteria,2
37.52.192.45,supermarket,2
37.52.192.45,dojo,5
37.52.192.45,restaurant,5
37.52.192.45,bar,6
37.74.148.147,club,4
37.74.148.147,dojo,4
37.74.148.147,restaurant,5
37.74.148.147,cafeteria,6
37.93.75.56,cafeteria,2
37.93.75.56,bar,3
37.93.75.56,club,4
37.93.75.56,supermarket,5
37.93.75.56,restaurant,7
4.78.164.209,restaurant,2
4.78.164.209,bar,3
4.78.164.209,dojo,4
4.78.164.209,supermarket,6
4.78.164.209,cafeteria,8
42.58.33.7,cafeteria,2
42.58.33.7,bar,4
42.58.33.7,supermarket,4
42.58.33.7,dojo,5
42.58.33.7,restaurant,6
45.192.57.66,restaurant,2
45.192.57.66,bar,4
45.192.57.66,gym,4
45.192.57.66,supermarket,5
45.192.57.66,cafeteria,6
46.103.95.199,bar,4
46.103.95.199,cafeteria,6
46.103.95.199,dojo,6
46.103.95.199,restaurant,7
49.133.11.43,restaurant,2
49.133.11.43,supermarket,3
49.133.11.43,gym,4
49.133.11.43,bar,5
49.133.11.43,cafeteria,7
49.205.49.101,restaurant,2
49.205.49.101,bar,5
49.205.49.101,cafeteria,5
49.205.49.101,dojo,5
49.205.49.101,gym,6
51.24.62.219,gym,1
51.24.62.219,restaurant,2
51.24.62.219,bar,4
51.24.62.219,supermarket,4
51.24.62.219,cafeteria,9
52.1.34.89,cafeteria,2
52.1.34.89,supermarket,2
52.1.34.89,gym,4
52.1.34.89,bar,6
52.1.34.89,restaurant,6
52.35.191.21,cafeteria,2
52.35.191.21,restaurant,2
52.35.191.21,supermarket,3
52.35.191.21,club,4
52.35.191.21,bar,5
52.35.191.21,dojo,5
53.184.207.174,cafeteria,4
53.184.207.174,club,4
53.184.207.174,bar,6
53.184.207.174,restaurant,6
57.100.56.37,bar,3
57.100.56.37,dojo,4
57.100.56.37,restaurant,5
57.100.56.37,cafeteria,8
58.148.135.246,restaurant,2
58.148.135.246,gym,4
58.148.135.246,supermarket,4
58.148.135.246,cafeteria,5
58.148.135.246,club,5
58.9.101.51,dojo,4
58.9.101.51,club,6
58.9.101.51,restaurant,6
58.9.101.51,cafeteria,7
60.109.165.215,cafeteria,2
60.109.165.215,club,2
60.109.165.215,bar,3
60.109.165.215,gym,5
60.109.165.215,restaurant,6
60.235.63.253,cafeteria,2
60.235.63.253,gym,3
60.235.63.253,club,4
60.235.63.253,supermarket,5
60.235.63.253,restaurant,7
61.119.100.118,cafeteria,2
61.119.100.118,bar,4
61.119.100.118,club,4
61.119.100.118,gym,6
61.119.100.118,restaurant,6
61.173.242.232,dojo,2
61.173.242.232,restaurant,2
61.173.242.232,supermarket,4
61.173.242.232,gym,5
61.173.242.232,cafeteria,6
62.87.46.15,club,3
62.87.46.15,cafeteria,5
62.87.46.15,supermarket,5
62.87.46.15,restaurant,8
63.25.113.30,cafeteria,2
63.25.113.30,gym,2
63.25.113.30,restaurant,2
63.25.113.30,bar,5
63.25.113.30,dojo,5
63.25.113.30,supermarket,5
65.106.64.1,cafeteria,2
65.106.64.1,gym,2
65.106.64.1,restaurant,2
65.106.64.1,bar,4
65.106.64.1,club,4
65.106.64.1,supermarket,4
66.78.97.123,gym,3
66.78.97.123,supermarket,3
66.78.97.123,restaurant,7
66.78.97.123,cafeteria,8
69.128.113.27,cafeteria,2
69.128.113.27,dojo,3
69.128.113.27,bar,4
69.128.113.27,restaurant,4
69.128.113.27,supermarket,5
69.153.160.132,cafeteria,2
69.153.160.132,gym,2
69.153.160.132,club,4
69.153.160.132,dojo,6
69.153.160.132,restaurant,6
7.154.93.97,cafeteria,2
7.154.93.97,bar,3
7.154.93.97,gym,4
7.154.93.97,club,5
7.154.93.97,restaurant,7
7.210.121.52,restaurant,2
7.210.121.52,club,3
7.210.121.52,dojo,4
7.210.121.52,cafeteria,5
7.210.121.52,supermarket,5
70.162.142.125,dojo,3
70.162.142.125,cafeteria,5
70.162.142.125,restaurant,6
70.162.142.125,gym,7
71.146.193.2,restaurant,2
71.146.193.2,supermarket,2
71.146.193.2,club,3
71.146.193.2,bar,5
71.146.193.2,cafeteria,6
71.161.252.167,cafeteria,2
71.161.252.167,club,3
71.161.252.167,supermarket,4
71.161.252.167,gym,5
71.161.252.167,restaurant,6
78.204.108.127,club,3
78.204.108.127,supermarket,4
78.204.108.127,restaurant,5
78.204.108.127,cafeteria,7
80.192.92.91,cafeteria,2
80.192.92.91,dojo,4
80.192.92.91,supermarket,5
80.192.92.91,bar,6
80.192.92.91,restaurant,6
82.225.127.217,cafeteria,2
82.225.127.217,club,3
82.225.127.217,bar,4
82.225.127.217,restaurant,5
82.225.127.217,gym,6
82.230.180.56,gym,3
82.230.180.56,bar,5
82.230.180.56,cafeteria,5
82.230.180.56,restaurant,7
82.249.248.9,cafeteria,5
82.249.248.9,club,5
82.249.248.9,bar,6
82.249.248.9,restaurant,6
84.37.183.178,restaurant,2
84.37.183.178,dojo,3
84.37.183.178,supermarket,3
84.37.183.178,bar,4
84.37.183.178,cafeteria,7
87.160.243.55,cafeteria,2
87.160.243.55,restaurant,2
87.160.243.55,supermarket,3
87.160.243.55,dojo,4
87.160.243.55,gym,4
87.160.243.55,club,6
88.32.125.209,cafeteria,2
88.32.125.209,dojo,2
88.32.125.209,club,4
88.32.125.209,supermarket,4
88.32.125.209,restaurant,5
89.234.179.60,restaurant,2
89.234.179.60,supermarket,3
89.234.179.60,dojo,5
89.234.179.60,bar,6
89.234.179.60,cafeteria,6
9.222.136.149,cafeteria,2
9.222.136.149,supermarket,2
9.222.136.149,gym,3
9.222.136.149,bar,5
9.222.136.149,restaurant,8
90.18.152.161,club,3
90.18.152.161,gym,4
90.18.152.161,cafeteria,7
90.18.152.161,restaurant,8
90.62.189.218,cafeteria,2
90.62.189.218,gym,3
90.62.189.218,club,4
90.62.189.218,restaurant,6
90.62.189.218,supermarket,6
91.60.233.179,supermarket,3
91.60.233.179,gym,5
91.60.233.179,restaurant,6
91.60.233.179,cafeteria,7
92.140.193.171,restaurant,2
92.140.193.171,supermarket,3
92.140.193.171,gym,4
92.140.193.171,dojo,5
92.140.193.171,cafeteria,7
94.220.204.193,cafeteria,2
94.220.204.193,gym,2
94.220.204.193,bar,3
94.220.204.193,club,3
94.220.204.193,restaurant,7
94.223.68.192,restaurant,2
94.223.68.192,supermarket,3
94.223.68.192,cafeteria,5
94.223.68.192,gym,5
94.223.68.192,club,7
95.146.245.203,restaurant,2
95.146.245.203,bar,4
95.146.245.203,gym,4
95.146.245.203,cafeteria,6
95.146.245.203,club,6
96.128.153.246,restaurant,5
96.128.153.246,supermarket,5
96.128.153.246,bar,6
96.128.153.246,cafeteria,7
97.138.146.97,cafeteria,2
97.138.146.97,restaurant,2
97.138.146.97,bar,3
97.138.146.97,gym,4
97.138.146.97,dojo,5
97.138.146.97,supermarket,5
